date,new_cases,recoveries,in_icu,death,text,source_url
2020-08-21,409,306,41,7,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم الجمعة  21 اوت 2020 و هي 
 🔴 409 حالة جديدة 
 🔴 306 حالة تماثلت للشفاء 
 🔴 41 مريض متواجدون في العناية المركزة
 🔴 07 وفيات. https://t.co/7loqx1HJ9t",https://twitter.com/Sante_Gouv_dz/status/1296847575723773956
2020-08-22,401,287,49,6,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم السبت 22 اوت 2020 و هي 
🔴 401 حالة جديدة 
🔴 287 حالة تماثلت للشفاء 
🔴 49 مريض متواجدون في العناية المركزة
🔴 06 وفيات. https://t.co/1twxu0x5b9",https://twitter.com/Sante_Gouv_dz/status/1297226902546124800
2020-08-23,392,268,41,11,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم الاحد  23 اوت 2020 و هي 
🔴 392 حالة جديدة 
🔴 268 حالة تماثلت للشفاء 
🔴 41 مريض متواجدون في العناية المركزة
🔴 11 وفيات. https://t.co/DuqIbAwjkI",https://twitter.com/Sante_Gouv_dz/status/1297562841126514688
2020-08-24,398,227,37,11,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم الاثنين 24 اوت 2020 و هي 
🔴 398 حالة جديدة 
🔴 227 حالة تماثلت للشفاء 
🔴 37 مريض متواجدون في العناية المركزة
🔴 11 وفيات. https://t.co/C5XJpJSLAq",https://twitter.com/Sante_Gouv_dz/status/1297925676251717633
2020-08-25,370,218,31,10,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم الثلاثاء 25 اوت 2020 و هي 
🔴 370 حالة جديدة 
🔴 218 حالة تماثلت للشفاء 
🔴 31 مريض متواجدون في العناية المركزة
🔴 10 وفيات. https://t.co/PDAOQudexX",https://twitter.com/Sante_Gouv_dz/status/1298305473838546945
2020-08-26,391,299,28,9,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم الاربعاء 26 اوت 2020 و هي
 
🔴391 حالة جديدة 
🔴 299 حالة تماثلت للشفاء 
🔴 28 مريض متواجدون في العناية المركزة
🔴 09 وفيات.",https://twitter.com/Sante_Gouv_dz/status/1298657400384294913
2020-08-27,397,271,28,10,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم الخميس 27 اوت 2020 و هي
 
🔴 397 حالة جديدة 
🔴 271 حالة تماثلت للشفاء 
🔴 28 مريض متواجدون في العناية المركزة
🔴  10وفيات. https://t.co/VcTd7mtQR1",https://twitter.com/Sante_Gouv_dz/status/1299022511305379843
2020-08-28,387,279,31,8,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم الجمعة 28 اوت 2020 و هي
 
🔴 387 حالة جديدة 
🔴 279 حالة تماثلت للشفاء 
🔴 31 مريض متواجدون في العناية المركزة
🔴 08 وفيات. https://t.co/D7itw7nBJY",https://twitter.com/Sante_Gouv_dz/status/1299379898730131456
2020-08-29,379,281,28,8,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم  السبت 29  اوت 2020 و هي
 
🔴 379 حالة جديدة
🔴 281 حالة تماثلت للشفاء 
🔴 28 مريض متواجدون في العناية المركزة
🔴 08 وفيات. https://t.co/TZW3QtxiVZ",https://twitter.com/Sante_Gouv_dz/status/1299741071367434241
2020-08-30,364,261,29,10,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم  الاحد 30  اوت 2020 و هي
 
🔴 364 حالة جديدة
🔴 261 حالة تماثلت للشفاء 
🔴 29 مريض متواجدون في العناية المركزة
🔴 10 وفيات. https://t.co/xguHGbbRnf",https://twitter.com/Sante_Gouv_dz/status/1300101801971249153
